상호,건물,카테고리,주소,네이버검색(클릭),전화번호(여기채우기)
더케이에이치컴퍼니,테라타워,경양식,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%8D%94%EC%BC%80%EC%9D%B4%EC%97%90%EC%9D%B4%EC%B9%98%EC%BB%B4%ED%8D%BC%EB%8B%88,
도삭명가,테라타워,중국집,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%8F%84%EC%82%AD%EB%AA%85%EA%B0%80,
류창희국수人,테라타워,국수/칼국수,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%A5%98%EC%B0%BD%ED%9D%AC%EA%B5%AD%EC%88%98%E4%BA%BA,
마라공방문정테라,테라타워,마라탕/훠궈,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%A7%88%EB%9D%BC%EA%B3%B5%EB%B0%A9%EB%AC%B8%EC%A0%95%ED%85%8C%EB%9D%BC,
만날,테라타워,백반/한정식,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%A7%8C%EB%82%A0,
본죽&비빔밥문정법조단지점,테라타워,백반/한정식,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%B3%B8%EC%A3%BD%26%EB%B9%84%EB%B9%94%EB%B0%A5%EB%AC%B8%EC%A0%95%EB%B2%95%EC%A1%B0%EB%8B%A8%EC%A7%80%EC%A0%90,
부산아지매국밥&구포갈비문정테라,테라타워,국/탕/찌개류,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%B6%80%EC%82%B0%EC%95%84%EC%A7%80%EB%A7%A4%EA%B5%AD%EB%B0%A5%26%EA%B5%AC%ED%8F%AC%EA%B0%88%EB%B9%84%EB%AC%B8%EC%A0%95%ED%85%8C%EB%9D%BC,
삼산회관문정테라,테라타워,국/탕/찌개류,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%82%BC%EC%82%B0%ED%9A%8C%EA%B4%80%EB%AC%B8%EC%A0%95%ED%85%8C%EB%9D%BC,
소풍가는날문정법조단지점,테라타워,김밥/만두/분식,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%86%8C%ED%92%8D%EA%B0%80%EB%8A%94%EB%82%A0%EB%AC%B8%EC%A0%95%EB%B2%95%EC%A1%B0%EB%8B%A8%EC%A7%80%EC%A0%90,
소호면가,테라타워,국수/칼국수,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%86%8C%ED%98%B8%EB%A9%B4%EA%B0%80,
스위치,테라타워,피자,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%8A%A4%EC%9C%84%EC%B9%98,
압구정샌드위치,테라타워,토스트/샌드위치/샐러드,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%95%95%EA%B5%AC%EC%A0%95%EC%83%8C%EB%93%9C%EC%9C%84%EC%B9%98,
엄마밥상,테라타워,백반/한정식,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%97%84%EB%A7%88%EB%B0%A5%EC%83%81,
업소명없음,테라타워,피자,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%97%85%EC%86%8C%EB%AA%85%EC%97%86%EC%9D%8C,
에스씨브이에프앤비,테라타워,백반/한정식,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%97%90%EC%8A%A4%EC%94%A8%EB%B8%8C%EC%9D%B4%EC%97%90%ED%94%84%EC%95%A4%EB%B9%84,
유미카츠,테라타워,일식 카레/돈가스/덮밥,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%9C%A0%EB%AF%B8%EC%B9%B4%EC%B8%A0,
장수본가해장국,테라타워,국/탕/찌개류,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%9E%A5%EC%88%98%EB%B3%B8%EA%B0%80%ED%95%B4%EC%9E%A5%EA%B5%AD,
조조감자탕,테라타워,국/탕/찌개류,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%A1%B0%EC%A1%B0%EA%B0%90%EC%9E%90%ED%83%95,
최현옥임대,테라타워,백반/한정식,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%B5%9C%ED%98%84%EC%98%A5%EC%9E%84%EB%8C%80,
테라참치,테라타워,일식 회/초밥,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%85%8C%EB%9D%BC%EC%B0%B8%EC%B9%98,
테이스터스바스버거문정역점,테라타워,버거,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%85%8C%EC%9D%B4%EC%8A%A4%ED%84%B0%EC%8A%A4%EB%B0%94%EC%8A%A4%EB%B2%84%EA%B1%B0%EB%AC%B8%EC%A0%95%EC%97%AD%EC%A0%90,
하영호신촌설렁탕문정역점,테라타워,국/탕/찌개류,서울특별시 송파구 송파대로 167,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%95%98%EC%98%81%ED%98%B8%EC%8B%A0%EC%B4%8C%EC%84%A4%EB%A0%81%ED%83%95%EB%AC%B8%EC%A0%95%EC%97%AD%EC%A0%90,
가쯔미,현대지식산업센터,일식 회/초밥,서울특별시 송파구 법원로11길 7,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EA%B0%80%EC%AF%94%EB%AF%B8,
남원추어탕,현대지식산업센터,국/탕/찌개류,서울특별시 송파구 법원로11길 11,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%82%A8%EC%9B%90%EC%B6%94%EC%96%B4%ED%83%95,
다이죠부,현대지식산업센터,일식 회/초밥,서울특별시 송파구 법원로11길 7,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%8B%A4%EC%9D%B4%EC%A3%A0%EB%B6%80,
돈앤칡,현대지식산업센터,경양식,서울특별시 송파구 법원로11길 11,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%8F%88%EC%95%A4%EC%B9%A1,
레브스페셜티앤스시,현대지식산업센터,일식 회/초밥,서울특별시 송파구 법원로11길 11,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%A0%88%EB%B8%8C%EC%8A%A4%ED%8E%98%EC%85%9C%ED%8B%B0%EC%95%A4%EC%8A%A4%EC%8B%9C,
마낀카오,현대지식산업센터,베트남식 전문,서울특별시 송파구 법원로11길 7,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%A7%88%EB%82%80%EC%B9%B4%EC%98%A4,
멘도,현대지식산업센터,일식 회/초밥,서울특별시 송파구 법원로11길 11,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%A9%98%EB%8F%84,
목삼항,현대지식산업센터,백반/한정식,서울특별시 송파구 법원로11길 7,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%AA%A9%EC%82%BC%ED%95%AD,
문정쭈칼집,현대지식산업센터,백반/한정식,서울특별시 송파구 법원로11길 7,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%AC%B8%EC%A0%95%EC%AD%88%EC%B9%BC%EC%A7%91,
빙동댕문정역점,현대지식산업센터,김밥/만두/분식,서울특별시 송파구 법원로11길 7,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EB%B9%99%EB%8F%99%EB%8C%95%EB%AC%B8%EC%A0%95%EC%97%AD%EC%A0%90,
식물원김밥,현대지식산업센터,김밥/만두/분식,서울특별시 송파구 법원로11길 7,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%8B%9D%EB%AC%BC%EC%9B%90%EA%B9%80%EB%B0%A5,
아토키토,현대지식산업센터,경양식,서울특별시 송파구 법원로11길 7,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%95%84%ED%86%A0%ED%82%A4%ED%86%A0,
우몽,현대지식산업센터,백반/한정식,서울특별시 송파구 법원로11길 7,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%9A%B0%EB%AA%BD,
유혜인김밥,현대지식산업센터,김밥/만두/분식,서울특별시 송파구 법원로11길 11,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EC%9C%A0%ED%98%9C%EC%9D%B8%EA%B9%80%EB%B0%A5,
트리플본국밥,현대지식산업센터,국/탕/찌개류,서울특별시 송파구 법원로11길 11,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%8A%B8%EB%A6%AC%ED%94%8C%EB%B3%B8%EA%B5%AD%EB%B0%A5,
포케올데이,현대지식산업센터,토스트/샌드위치/샐러드,서울특별시 송파구 법원로11길 11,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%8F%AC%EC%BC%80%EC%98%AC%EB%8D%B0%EC%9D%B4,
풍경,현대지식산업센터,백반/한정식,서울특별시 송파구 법원로11길 11,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%92%8D%EA%B2%BD,
픽업그린,현대지식산업센터,일식 회/초밥,서울특별시 송파구 법원로11길 11,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%94%BD%EC%97%85%EA%B7%B8%EB%A6%B0,
한국커리어패스협의회,현대지식산업센터,기타 동남아식 전문,서울특별시 송파구 법원로11길 7,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%95%9C%EA%B5%AD%EC%BB%A4%EB%A6%AC%EC%96%B4%ED%8C%A8%EC%8A%A4%ED%98%91%EC%9D%98%ED%9A%8C,
해룡마을국수송파,현대지식산업센터,국수/칼국수,서울특별시 송파구 법원로11길 7,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%ED%95%B4%EB%A3%A1%EB%A7%88%EC%9D%84%EA%B5%AD%EC%88%98%EC%86%A1%ED%8C%8C,
갓텐갓텐익스프레스문정점,SKV1/GL메트로시티,일식 회/초밥,서울특별시 송파구 법원로 128,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EA%B0%93%ED%85%90%EA%B0%93%ED%85%90%EC%9D%B5%EC%8A%A4%ED%94%84%EB%A0%88%EC%8A%A4%EB%AC%B8%EC%A0%95%EC%A0%90,
그린포유,SKV1/GL메트로시티,피자,서울특별시 송파구 법원로 128,https://map.naver.com/p/search/%EB%AC%B8%EC%A0%95%20%EA%B7%B8%EB%A6%B0%ED%8F%AC%EC%9C%A0,
